instance_id,grid_size,method,success,expansions,runtime_sec,path_cost
73,48,classic,1,1879,0.006966352462768555,94.0
73,48,learned_direct,1,2084,0.2815368175506592,94.0
73,48,learned_curriculum,1,1775,0.29019975662231445,94.0
74,48,classic,1,1694,0.0066072940826416016,94.0
74,48,learned_direct,1,2076,0.2814757823944092,94.0
74,48,learned_curriculum,1,1655,0.28874707221984863,94.0
75,48,classic,1,1862,0.00856924057006836,94.0
75,48,learned_direct,1,2051,0.2892327308654785,94.0
75,48,learned_curriculum,1,1707,0.26856207847595215,94.0
76,48,classic,1,1900,0.00793600082397461,94.0
76,48,learned_direct,1,2074,0.2872283458709717,94.0
76,48,learned_curriculum,1,1757,0.2817230224609375,94.0
77,48,classic,1,1873,0.007086515426635742,94.0
77,48,learned_direct,1,2099,0.3099522590637207,94.0
77,48,learned_curriculum,1,1753,0.3804504871368408,94.0
78,48,classic,1,1564,0.0062465667724609375,94.0
78,48,learned_direct,1,2050,0.2747671604156494,94.0
78,48,learned_curriculum,1,1631,0.24954557418823242,94.0
79,48,classic,0,4,2.193450927734375e-05,inf
79,48,learned_direct,0,4,0.0005857944488525391,inf
79,48,learned_curriculum,0,4,0.000499725341796875,inf
80,48,classic,1,1796,0.0073206424713134766,94.0
80,48,learned_direct,1,2074,0.27867650985717773,94.0
80,48,learned_curriculum,1,1750,0.2555663585662842,94.0
81,48,classic,1,1633,0.006640434265136719,94.0
81,48,learned_direct,1,2052,0.29538702964782715,94.0
81,48,learned_curriculum,1,1698,0.26357054710388184,94.0
82,48,classic,1,1789,0.007609367370605469,94.0
82,48,learned_direct,1,2068,0.2705683708190918,94.0
82,48,learned_curriculum,1,1705,0.28046679496765137,94.0
83,48,classic,1,1671,0.009098052978515625,94.0
83,48,learned_direct,1,2089,0.4161648750305176,94.0
83,48,learned_curriculum,1,1710,0.3327932357788086,94.0
84,48,classic,1,1620,0.00760650634765625,94.0
84,48,learned_direct,1,2097,0.33246803283691406,94.0
84,48,learned_curriculum,1,1674,0.31004881858825684,94.0
85,48,classic,1,1798,0.00731658935546875,94.0
85,48,learned_direct,1,2073,0.3597404956817627,94.0
85,48,learned_curriculum,1,1735,0.2766106128692627,94.0
86,48,classic,1,1832,0.00659489631652832,94.0
86,48,learned_direct,1,2082,0.2760183811187744,94.0
86,48,learned_curriculum,1,1774,0.26768946647644043,94.0
87,48,classic,1,1731,0.00704193115234375,94.0
87,48,learned_direct,1,2057,0.35047078132629395,94.0
87,48,learned_curriculum,1,1719,0.28707337379455566,94.0
88,48,classic,1,1692,0.008189678192138672,94.0
88,48,learned_direct,1,2064,0.2714848518371582,94.0
88,48,learned_curriculum,1,1659,0.25804781913757324,94.0
89,48,classic,1,1504,0.00836491584777832,94.0
89,48,learned_direct,1,2047,0.31662726402282715,94.0
89,48,learned_curriculum,1,1643,0.270033597946167,94.0
90,48,classic,1,1799,0.007216691970825195,94.0
90,48,learned_direct,1,2057,0.2755429744720459,94.0
90,48,learned_curriculum,1,1740,0.27223753929138184,94.0
91,48,classic,1,1666,0.00669407844543457,94.0
91,48,learned_direct,1,2062,0.3109574317932129,94.0
91,48,learned_curriculum,1,1702,0.25575709342956543,94.0
92,48,classic,1,1911,0.006495952606201172,94.0
92,48,learned_direct,1,2098,0.2655632495880127,94.0
92,48,learned_curriculum,1,1793,0.27298498153686523,94.0
93,48,classic,1,1936,0.008004426956176758,94.0
93,48,learned_direct,1,2073,0.2712883949279785,94.0
93,48,learned_curriculum,1,1759,0.30380702018737793,94.0
94,48,classic,1,1738,0.00798487663269043,94.0
94,48,learned_direct,1,2053,0.3257262706756592,94.0
94,48,learned_curriculum,1,1728,0.2774841785430908,94.0
95,48,classic,1,1886,0.006751537322998047,94.0
95,48,learned_direct,1,2097,0.2704622745513916,94.0
95,48,learned_curriculum,1,1725,0.25981783866882324,94.0
96,48,classic,1,1739,0.0066335201263427734,94.0
96,48,learned_direct,1,2039,0.2672600746154785,94.0
96,48,learned_curriculum,1,1684,0.2476809024810791,94.0
97,48,classic,1,1949,0.007040739059448242,94.0
97,48,learned_direct,1,2076,0.27443528175354004,94.0
97,48,learned_curriculum,1,1783,0.3225133419036865,94.0
98,48,classic,1,1640,0.00621342658996582,94.0
98,48,learned_direct,1,2057,0.26732707023620605,94.0
98,48,learned_curriculum,1,1766,0.2656888961791992,94.0
99,48,classic,1,1706,0.0072460174560546875,94.0
99,48,learned_direct,1,2043,0.27741479873657227,94.0
99,48,learned_curriculum,1,1674,0.25569796562194824,94.0
100,48,classic,1,1755,0.006010770797729492,94.0
100,48,learned_direct,1,2069,0.26802659034729004,94.0
100,48,learned_curriculum,1,1736,0.2665557861328125,94.0
