instance_id,grid_type,method,success,expansions,runtime_sec,path_cost
92,maze,classic,1,281,0.0009284019470214844,64.0
92,maze,residual_learned,1,216,0.03849959373474121,64.0
93,maze,classic,1,471,0.0023560523986816406,62.0
93,maze,residual_learned,1,166,0.031610965728759766,62.0
94,maze,classic,0,3,1.3589859008789062e-05,inf
94,maze,residual_learned,0,3,0.00034117698669433594,inf
95,maze,classic,1,312,0.001013040542602539,66.0
95,maze,residual_learned,1,379,0.0540013313293457,66.0
96,maze,classic,0,725,0.002756834030151367,inf
96,maze,residual_learned,0,725,0.1045074462890625,inf
97,maze,classic,0,717,0.0023894309997558594,inf
97,maze,residual_learned,0,717,0.11504912376403809,inf
98,maze,classic,0,3,1.4781951904296875e-05,inf
98,maze,residual_learned,0,3,0.00036597251892089844,inf
99,maze,classic,0,14,5.340576171875e-05,inf
99,maze,residual_learned,0,14,0.0016722679138183594,inf
100,maze,classic,0,670,0.0026314258575439453,inf
100,maze,residual_learned,0,670,0.1070566177368164,inf
101,rooms,classic,1,846,0.0032172203063964844,62.0
101,rooms,residual_learned,1,130,0.025417327880859375,62.0
102,rooms,classic,1,846,0.003320455551147461,62.0
102,rooms,residual_learned,1,130,0.03711533546447754,62.0
103,rooms,classic,1,846,0.004585981369018555,62.0
103,rooms,residual_learned,1,130,0.027476787567138672,62.0
104,rooms,classic,1,846,0.0029718875885009766,62.0
104,rooms,residual_learned,1,130,0.024690628051757812,62.0
105,rooms,classic,1,846,0.004215240478515625,62.0
105,rooms,residual_learned,1,130,0.030241727828979492,62.0
106,rooms,classic,1,846,0.002745389938354492,62.0
106,rooms,residual_learned,1,130,0.030665874481201172,62.0
107,rooms,classic,1,846,0.0037817955017089844,62.0
107,rooms,residual_learned,1,130,0.027354001998901367,62.0
108,rooms,classic,1,846,0.0027573108673095703,62.0
108,rooms,residual_learned,1,130,0.02714991569519043,62.0
109,rooms,classic,1,846,0.0031595230102539062,62.0
109,rooms,residual_learned,1,130,0.02681732177734375,62.0
110,rooms,classic,1,846,0.002719879150390625,62.0
110,rooms,residual_learned,1,130,0.02770090103149414,62.0
111,rooms,classic,1,846,0.002724170684814453,62.0
111,rooms,residual_learned,1,130,0.025286197662353516,62.0
112,rooms,classic,1,846,0.0027158260345458984,62.0
112,rooms,residual_learned,1,130,0.025551795959472656,62.0
113,rooms,classic,1,846,0.0033922195434570312,62.0
113,rooms,residual_learned,1,130,0.024028539657592773,62.0
114,rooms,classic,1,846,0.003190755844116211,62.0
114,rooms,residual_learned,1,130,0.027981281280517578,62.0
115,rooms,classic,1,846,0.0030913352966308594,62.0
115,rooms,residual_learned,1,130,0.02309727668762207,62.0
116,rooms,classic,1,846,0.006552696228027344,62.0
116,rooms,residual_learned,1,130,0.04645085334777832,62.0
117,rooms,classic,1,846,0.006070852279663086,62.0
117,rooms,residual_learned,1,130,0.05625486373901367,62.0
118,rooms,classic,1,846,0.0069468021392822266,62.0
118,rooms,residual_learned,1,130,0.04140734672546387,62.0
119,rooms,classic,1,846,0.0035300254821777344,62.0
119,rooms,residual_learned,1,130,0.04126119613647461,62.0
120,rooms,classic,1,846,0.006096839904785156,62.0
120,rooms,residual_learned,1,130,0.04169821739196777,62.0
121,rooms,classic,1,846,0.005870819091796875,62.0
121,rooms,residual_learned,1,130,0.0326840877532959,62.0
122,rooms,classic,1,846,0.004938364028930664,62.0
122,rooms,residual_learned,1,130,0.04642009735107422,62.0
123,rooms,classic,1,846,0.0032341480255126953,62.0
123,rooms,residual_learned,1,130,0.02655649185180664,62.0
124,rooms,classic,1,846,0.0028269290924072266,62.0
124,rooms,residual_learned,1,130,0.025537490844726562,62.0
125,rooms,classic,1,846,0.003922462463378906,62.0
125,rooms,residual_learned,1,130,0.022998809814453125,62.0
126,rooms,classic,1,846,0.00310516357421875,62.0
126,rooms,residual_learned,1,130,0.02291274070739746,62.0
127,rooms,classic,1,846,0.0030748844146728516,62.0
127,rooms,residual_learned,1,130,0.02765059471130371,62.0
128,rooms,classic,1,846,0.002917766571044922,62.0
128,rooms,residual_learned,1,130,0.02231764793395996,62.0
129,rooms,classic,1,846,0.0029964447021484375,62.0
129,rooms,residual_learned,1,130,0.024010181427001953,62.0
130,rooms,classic,1,846,0.0030198097229003906,62.0
130,rooms,residual_learned,1,130,0.02730536460876465,62.0
131,rooms,classic,1,846,0.004175424575805664,62.0
131,rooms,residual_learned,1,130,0.022220373153686523,62.0
132,rooms,classic,1,846,0.0028700828552246094,62.0
132,rooms,residual_learned,1,130,0.02264857292175293,62.0
133,rooms,classic,1,846,0.0035605430603027344,62.0
133,rooms,residual_learned,1,130,0.027922868728637695,62.0
134,rooms,classic,1,846,0.0027513504028320312,62.0
134,rooms,residual_learned,1,130,0.02156996726989746,62.0
